,model,evaluate_max_reward,evaluate_rewards_mean,evaluate_rewards_std,hidden_layers,units_per_layer,activation_per_layer,output_layer_activation,num_episodes,learning_rate,epsilon,epsilon_min,epsilon_decay,batch_size,discount,update_target_every
0,2024-06-13_17-34-57_dqn_cartpole,10.0,10.0,0.0,4,"[512, 512, 512, 512]","['relu', 'relu', 'relu', 'relu']",linear,10000,0.01,0.000993147795920851,0.001,0.99,32,0.9,20
1,2024-06-14_00-20-45_dqn_cartpole,86.0,86.0,0.0,2,"[256, 256]","['relu', 'relu']",linear,6000,0.001,0.004998338275642187,0.005,0.999,128,0.9,40
2,2024-06-13_21-08-24_dqn_cartpole,92.0,92.0,0.0,2,"[256, 256]","['relu', 'relu']",linear,5000,0.001,0.006721111959865607,0.005,0.999,32,0.9,20
3,2024-06-14_09-34-50_dqn_cartpole,201.0,201.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,4000,0.001,0.018279019827489446,0.005,0.999,128,0.9,30
4,2024-06-13_18-59-17_dqn_cartpole,86.0,86.0,0.0,2,"[256, 256]","['relu', 'relu']",linear,3000,0.01,0.74080710775091,0.001,0.9999,32,0.9,20
5,2024-06-14_17-31-42_dqn_cartpole,214.0,214.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,6000,0.001,0.5487951708942683,0.005,0.9999,128,0.95,40
6,2024-06-14_18-54-27_dqn_cartpole,9.0,9.0,0.0,2,"[64, 64]","['relu', 'relu']",sigmoid,6000,0.005,0.004998338275642187,0.005,0.999,128,0.95,40
7,2024-06-14_18-17-10_dqn_cartpole,95.0,95.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,6000,0.005,0.1652542546206636,0.005,0.9997,128,0.95,40
8,2024-06-13_18-42-33_dqn_cartpole,9.0,9.0,0.0,2,"[512, 512]","['relu', 'relu']",linear,10000,0.01,0.000993147795920851,0.001,0.99,32,0.9,20
9,2024-06-13_23-08-40_dqn_cartpole,89.0,89.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,4000,0.001,0.018279019827489446,0.005,0.999,128,0.9,40
10,2024-06-14_16-42-26_dqn_cartpole,119.0,119.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,4000,0.001,0.018279019827489446,0.005,0.999,128,0.95,40
11,2024-06-15_00-29-02_dqn_cartpole,10.0,10.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,7000,0.001,0.004998338275642187,0.005,0.999,128,0.95,40
12,2024-06-13_18-50-05_dqn_cartpole,336.0,336.0,0.0,2,"[256, 256]","['relu', 'relu']",linear,3000,0.01,0.04971239399803625,0.001,0.999,32,0.9,20
13,2024-06-14_18-50-42_dqn_cartpole,500.0,500.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,6000,0.005,0.01497353923933631,0.005,0.9993,128,0.95,40
14,2024-06-13_19-11-27_dqn_cartpole,88.0,88.0,0.0,2,"[256, 256]","['relu', 'relu']",linear,3000,0.005,0.04971239399803625,0.001,0.999,32,0.9,20
15,2024-06-14_13-15-56_dqn_cartpole,9.0,9.0,0.0,2,"[256, 256]","['relu', 'relu']",linear,4000,0.001,0.018279019827489446,0.005,0.999,128,0.99,30
16,2024-06-14_15-38-10_dqn_cartpole,214.0,214.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,4000,0.001,0.018279019827489446,0.005,0.999,128,0.8,30
17,2024-06-13_18-56-41_dqn_cartpole,10.0,10.0,0.0,2,"[128, 128]","['relu', 'relu']",linear,3000,0.01,0.04971239399803625,0.001,0.999,32,0.9,20
18,2024-06-14_11-09-14_dqn_cartpole,255.0,255.0,0.0,2,"[64, 64]","['relu', 'relu']",linear,4000,0.001,0.018279019827489446,0.005,0.999,128,0.99,10
